1;5;100;0,00000;1;0;1
1;7;100;17,68060;31;4.608.682;0
1;10;100;22,42634;37;1.376.680;0
1;5;200;15,90223;9;1.098.307;0
1;7;200;17,88870;28;20.167;0
1;10;200;4,00486;18;2,638;1
2;5;100;0,00000;1;0;1
2;7;100;18,49366;29;12.321.003;0
2;10;100;21,25338;36;5.379.204;0
2;5;200;15,77164;7;3.936.603;0
2;7;200;18,77499;48;705.604;0
2;10;200;5,89311;25;3,476;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
